population_group,measure,location,sex,age,cause,metric,val
All Population,Prevalence,Mongolia,Both,90-94 years,Alzheimer's disease and other dementias,Number,495.16734628287946
All Population,Prevalence,Mongolia,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1905371610669713
All Population,Prevalence,Mongolia,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2271825224935874
All Population,Prevalence,Mongolia,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2142371380414031
All Population,Prevalence,Mongolia,Male,60+ years,Alzheimer's disease and other dementias,Number,2697.249055515828
All Population,Prevalence,Mongolia,Female,60+ years,Alzheimer's disease and other dementias,Number,5293.739211
All Population,Prevalence,Mongolia,Both,60+ years,Alzheimer's disease and other dementias,Number,7990.988266643068
All Population,Prevalence,Mongolia,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.02509055
All Population,Prevalence,Mongolia,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.033838979
All Population,Prevalence,Mongolia,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.030275811
All Population,Prevalence,Mongolia,Male,95+ years,Alzheimer's disease and other dementias,Number,46.40715609235133
All Population,Prevalence,Mongolia,Female,95+ years,Alzheimer's disease and other dementias,Number,125.12505295490486
All Population,Prevalence,Mongolia,Both,95+ years,Alzheimer's disease and other dementias,Number,171.5322090472562
All Population,Prevalence,Mongolia,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2276450942559735
All Population,Prevalence,Mongolia,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2699170528364422
All Population,Prevalence,Mongolia,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2570055770556089
All Population,Prevalence,Albania,Male,60-64 years,Alzheimer's disease and other dementias,Number,727.9098974434348
All Population,Prevalence,Albania,Female,60-64 years,Alzheimer's disease and other dementias,Number,926.3897152
All Population,Prevalence,Albania,Both,60-64 years,Alzheimer's disease and other dementias,Number,1654.2996126776552
All Population,Prevalence,Albania,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.007506649
All Population,Prevalence,Albania,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.009322093
All Population,Prevalence,Albania,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.008425498
All Population,Prevalence,Albania,Male,65-69 years,Alzheimer's disease and other dementias,Number,1097.2608028081572
All Population,Prevalence,Albania,Female,65-69 years,Alzheimer's disease and other dementias,Number,1402.177959495628
All Population,Prevalence,Albania,Both,65-69 years,Alzheimer's disease and other dementias,Number,2499.438762303787
All Population,Prevalence,Albania,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.01348656
All Population,Prevalence,Albania,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.016921662
All Population,Prevalence,Albania,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.015219834
All Population,Prevalence,Albania,Male,70-74 years,Alzheimer's disease and other dementias,Number,1362.2702748462789
All Population,Prevalence,Albania,Female,70-74 years,Alzheimer's disease and other dementias,Number,2004.289655321999
All Population,Prevalence,Albania,Both,70-74 years,Alzheimer's disease and other dementias,Number,3366.55993
All Population,Prevalence,Albania,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.025923714
All Population,Prevalence,Albania,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.032777762
All Population,Prevalence,Albania,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.029609916
All Population,Prevalence,Albania,Male,75-79 years,Alzheimer's disease and other dementias,Number,1848.9420020582736
All Population,Prevalence,Albania,Female,75-79 years,Alzheimer's disease and other dementias,Number,2887.7835430249825
All Population,Prevalence,Albania,Both,75-79 years,Alzheimer's disease and other dementias,Number,4736.725545083257
All Population,Prevalence,Albania,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.05122325
All Population,Prevalence,Albania,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.064095661
All Population,Prevalence,Albania,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.058369977
All Population,Prevalence,Albania,Male,80-84 years,Alzheimer's disease and other dementias,Number,2322.933733996598
All Population,Prevalence,Albania,Female,80-84 years,Alzheimer's disease and other dementias,Number,3918.648007323045
All Population,Prevalence,Albania,Both,80-84 years,Alzheimer's disease and other dementias,Number,6241.581741319638
All Population,Prevalence,Albania,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.091239813
All Population,Prevalence,Albania,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1127743455092799
All Population,Prevalence,Albania,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1036681184281106
All Population,Prevalence,Albania,Male,85-89 years,Alzheimer's disease and other dementias,Number,1797.5677255283458
All Population,Prevalence,Albania,Female,85-89 years,Alzheimer's disease and other dementias,Number,2958.852033117212
All Population,Prevalence,Albania,Both,85-89 years,Alzheimer's disease and other dementias,Number,4756.419758645556
All Population,Prevalence,Albania,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1388662570043835
All Population,Prevalence,Albania,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1699085853100528
All Population,Prevalence,Albania,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1566726169909454
All Population,Prevalence,Albania,Male,90-94 years,Alzheimer's disease and other dementias,Number,561.1272299798079
All Population,Prevalence,Albania,Female,90-94 years,Alzheimer's disease and other dementias,Number,1277.1378252605916
All Population,Prevalence,Albania,Both,90-94 years,Alzheimer's disease and other dementias,Number,1838.2650552403984
All Population,Prevalence,Albania,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1881641630506454
All Population,Prevalence,Albania,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2273471110599181
All Population,Prevalence,Albania,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2137596248505489
All Population,Prevalence,Albania,Male,60+ years,Alzheimer's disease and other dementias,Number,9857.813299
All Population,Prevalence,Albania,Female,60+ years,Alzheimer's disease and other dementias,Number,15861.345913506124
All Population,Prevalence,Albania,Both,60+ years,Alzheimer's disease and other dementias,Number,25719.159212492665
All Population,Prevalence,Albania,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.031905028
All Population,Prevalence,Albania,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.045576233
All Population,Prevalence,Albania,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.039146862
All Population,Prevalence,Albania,Male,95+ years,Alzheimer's disease and other dementias,Number,139.80163232564553
All Population,Prevalence,Albania,Female,95+ years,Alzheimer's disease and other dementias,Number,486.0671747284476
All Population,Prevalence,Albania,Both,95+ years,Alzheimer's disease and other dementias,Number,625.8688070540928
All Population,Prevalence,Albania,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2276492576335229
All Population,Prevalence,Albania,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2704297874132627
All Population,Prevalence,Albania,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2595353355522886
All Population,Prevalence,Uganda,Male,60-64 years,Alzheimer's disease and other dementias,Number,1804.115506651872
All Population,Prevalence,Uganda,Female,60-64 years,Alzheimer's disease and other dementias,Number,2867.402577357133
All Population,Prevalence,Uganda,Both,60-64 years,Alzheimer's disease and other dementias,Number,4671.518084009012
All Population,Prevalence,Uganda,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.006526603
All Population,Prevalence,Uganda,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.008649534
All Population,Prevalence,Uganda,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.007684247
All Population,Prevalence,Uganda,Male,65-69 years,Alzheimer's disease and other dementias,Number,2193.603571
All Population,Prevalence,Uganda,Female,65-69 years,Alzheimer's disease and other dementias,Number,4109.6505058535695
All Population,Prevalence,Uganda,Both,65-69 years,Alzheimer's disease and other dementias,Number,6303.254077190533
All Population,Prevalence,Uganda,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.011631874
All Population,Prevalence,Uganda,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.01729088
All Population,Prevalence,Uganda,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.014787245
All Population,Prevalence,Uganda,Male,70-74 years,Alzheimer's disease and other dementias,Number,2742.457076007973
All Population,Prevalence,Uganda,Female,70-74 years,Alzheimer's disease and other dementias,Number,6175.387049086939
All Population,Prevalence,Uganda,Both,70-74 years,Alzheimer's disease and other dementias,Number,8917.844125094922
All Population,Prevalence,Uganda,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.022082386
All Population,Prevalence,Uganda,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.036035868
All Population,Prevalence,Uganda,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.030172719
All Population,Prevalence,Uganda,Male,75-79 years,Alzheimer's disease and other dementias,Number,3286.0303355025358
All Population,Prevalence,Uganda,Female,75-79 years,Alzheimer's disease and other dementias,Number,7982.689192037727
All Population,Prevalence,Uganda,Both,75-79 years,Alzheimer's disease and other dementias,Number,11268.719527540265
All Population,Prevalence,Uganda,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.04042646
All Population,Prevalence,Uganda,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.067361358
All Population,Prevalence,Uganda,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.056402929
All Population,Prevalence,Uganda,Male,80-84 years,Alzheimer's disease and other dementias,Number,3534.9854527499174
All Population,Prevalence,Uganda,Female,80-84 years,Alzheimer's disease and other dementias,Number,8567.070793151554
All Population,Prevalence,Uganda,Both,80-84 years,Alzheimer's disease and other dementias,Number,12102.056245901476
All Population,Prevalence,Uganda,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.069973726
All Population,Prevalence,Uganda,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1152825286682416
All Population,Prevalence,Uganda,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.096946396
All Population,Prevalence,Uganda,Male,85-89 years,Alzheimer's disease and other dementias,Number,2686.206848124304
All Population,Prevalence,Uganda,Female,85-89 years,Alzheimer's disease and other dementias,Number,6733.037850593106
All Population,Prevalence,Uganda,Both,85-89 years,Alzheimer's disease and other dementias,Number,9419.244698717415
All Population,Prevalence,Uganda,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1095456941275564
All Population,Prevalence,Uganda,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1761707829184544
All Population,Prevalence,Uganda,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1501310578167713
All Population,Prevalence,Uganda,Male,90-94 years,Alzheimer's disease and other dementias,Number,1161.851359810292
All Population,Prevalence,Uganda,Female,90-94 years,Alzheimer's disease and other dementias,Number,3603.865924
All Population,Prevalence,Uganda,Both,90-94 years,Alzheimer's disease and other dementias,Number,4765.717284186163
All Population,Prevalence,Uganda,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1507526183115936
All Population,Prevalence,Uganda,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2332186730055765
All Population,Prevalence,Uganda,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2057759471000353
All Population,Prevalence,Uganda,Male,60+ years,Alzheimer's disease and other dementias,Number,17863.543756996878
All Population,Prevalence,Uganda,Female,60+ years,Alzheimer's disease and other dementias,Number,41883.93320172408
All Population,Prevalence,Uganda,Both,60+ years,Alzheimer's disease and other dementias,Number,59747.476958720974
All Population,Prevalence,Uganda,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.023636166
All Population,Prevalence,Uganda,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.042136288
All Population,Prevalence,Uganda,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.034145657
All Population,Prevalence,Uganda,Male,95+ years,Alzheimer's disease and other dementias,Number,454.2936068130239
All Population,Prevalence,Uganda,Female,95+ years,Alzheimer's disease and other dementias,Number,1844.8293092681583
All Population,Prevalence,Uganda,Both,95+ years,Alzheimer's disease and other dementias,Number,2299.1229160811813
All Population,Prevalence,Uganda,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.1789932497791844
All Population,Prevalence,Uganda,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2648430655904742
All Population,Prevalence,Uganda,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2419163247767825
All Population,Prevalence,Poland,Male,60-64 years,Alzheimer's disease and other dementias,Number,8654.736688165205
All Population,Prevalence,Poland,Female,60-64 years,Alzheimer's disease and other dementias,Number,12166.744931427907
All Population,Prevalence,Poland,Both,60-64 years,Alzheimer's disease and other dementias,Number,20821.48161959311
All Population,Prevalence,Poland,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.007377792
All Population,Prevalence,Poland,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.009247659
All Population,Prevalence,Poland,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.008366287
All Population,Prevalence,Poland,Male,65-69 years,Alzheimer's disease and other dementias,Number,14759.432025662582
All Population,Prevalence,Poland,Female,65-69 years,Alzheimer's disease and other dementias,Number,23130.949036281523
All Population,Prevalence,Poland,Both,65-69 years,Alzheimer's disease and other dementias,Number,37890.38106194409
All Population,Prevalence,Poland,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.012916112
All Population,Prevalence,Poland,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.016544557
All Population,Prevalence,Poland,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.014912687
All Population,Prevalence,Poland,Male,70-74 years,Alzheimer's disease and other dementias,Number,21474.25705143552
All Population,Prevalence,Poland,Female,70-74 years,Alzheimer's disease and other dementias,Number,38143.29534576618
All Population,Prevalence,Poland,Both,70-74 years,Alzheimer's disease and other dementias,Number,59617.55239720172
All Population,Prevalence,Poland,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.024367102
All Population,Prevalence,Poland,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.031649113
All Population,Prevalence,Poland,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.028573351
All Population,Prevalence,Poland,Male,75-79 years,Alzheimer's disease and other dementias,Number,22412.60875
All Population,Prevalence,Poland,Female,75-79 years,Alzheimer's disease and other dementias,Number,44949.72761875199
All Population,Prevalence,Poland,Both,75-79 years,Alzheimer's disease and other dementias,Number,67362.33637337062
All Population,Prevalence,Poland,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.04875922
All Population,Prevalence,Poland,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.062358148
All Population,Prevalence,Poland,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.057063004
All Population,Prevalence,Poland,Male,80-84 years,Alzheimer's disease and other dementias,Number,24595.51415259524
All Population,Prevalence,Poland,Female,80-84 years,Alzheimer's disease and other dementias,Number,59378.31683846638
All Population,Prevalence,Poland,Both,80-84 years,Alzheimer's disease and other dementias,Number,83973.83099106161
All Population,Prevalence,Poland,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.088499046
All Population,Prevalence,Poland,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1106019428704744
All Population,Prevalence,Poland,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1030627595868919
All Population,Prevalence,Poland,Male,85-89 years,Alzheimer's disease and other dementias,Number,21144.94844099354
All Population,Prevalence,Poland,Female,85-89 years,Alzheimer's disease and other dementias,Number,62761.42475021834
All Population,Prevalence,Poland,Both,85-89 years,Alzheimer's disease and other dementias,Number,83906.37319121181
All Population,Prevalence,Poland,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1368353755076936
All Population,Prevalence,Poland,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1678847559879036
All Population,Prevalence,Poland,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1588038879019279
All Population,Prevalence,Poland,Male,90-94 years,Alzheimer's disease and other dementias,Number,11013.886557175812
All Population,Prevalence,Poland,Female,90-94 years,Alzheimer's disease and other dementias,Number,38227.15535360746
All Population,Prevalence,Poland,Both,90-94 years,Alzheimer's disease and other dementias,Number,49241.04191
All Population,Prevalence,Poland,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1872059038246195
All Population,Prevalence,Poland,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2267969308030148
All Population,Prevalence,Poland,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.216553267
All Population,Prevalence,Poland,Male,60+ years,Alzheimer's disease and other dementias,Number,126700.89179483488
All Population,Prevalence,Poland,Female,60+ years,Alzheimer's disease and other dementias,Number,292350.9486479501
All Population,Prevalence,Poland,Both,60+ years,Alzheimer's disease and other dementias,Number,419051.8404427846
All Population,Prevalence,Poland,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.030461325
All Population,Prevalence,Poland,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.050685808
All Population,Prevalence,Poland,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.042212035
All Population,Prevalence,Poland,Male,95+ years,Alzheimer's disease and other dementias,Number,2645.5081241883054
All Population,Prevalence,Poland,Female,95+ years,Alzheimer's disease and other dementias,Number,13593.334773430144
All Population,Prevalence,Poland,Both,95+ years,Alzheimer's disease and other dementias,Number,16238.842897618428
All Population,Prevalence,Poland,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2322832803406455
All Population,Prevalence,Poland,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.2781422362087778
All Population,Prevalence,Poland,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.2694750371467849
All Population,Prevalence,Nicaragua,Male,60-64 years,Alzheimer's disease and other dementias,Number,773.7538847
All Population,Prevalence,Nicaragua,Female,60-64 years,Alzheimer's disease and other dementias,Number,1067.097693799983
All Population,Prevalence,Nicaragua,Both,60-64 years,Alzheimer's disease and other dementias,Number,1840.8515784647157
All Population,Prevalence,Nicaragua,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.008937182
All Population,Prevalence,Nicaragua,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.010139601
All Population,Prevalence,Nicaragua,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.009596889
All Population,Prevalence,Nicaragua,Male,65-69 years,Alzheimer's disease and other dementias,Number,1070.8669959652889
All Population,Prevalence,Nicaragua,Female,65-69 years,Alzheimer's disease and other dementias,Number,1491.068736505066
All Population,Prevalence,Nicaragua,Both,65-69 years,Alzheimer's disease and other dementias,Number,2561.935732470357
All Population,Prevalence,Nicaragua,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.016670889
All Population,Prevalence,Nicaragua,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.018911462
All Population,Prevalence,Nicaragua,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.01790556
All Population,Prevalence,Nicaragua,Male,70-74 years,Alzheimer's disease and other dementias,Number,1517.194415503664
All Population,Prevalence,Nicaragua,Female,70-74 years,Alzheimer's disease and other dementias,Number,2153.2293397198155
All Population,Prevalence,Nicaragua,Both,70-74 years,Alzheimer's disease and other dementias,Number,3670.423755
All Population,Prevalence,Nicaragua,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.033019714
All Population,Prevalence,Nicaragua,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.037970587
All Population,Prevalence,Nicaragua,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.035754608
All Population,Prevalence,Nicaragua,Male,75-79 years,Alzheimer's disease and other dementias,Number,1914.503826059532
All Population,Prevalence,Nicaragua,Female,75-79 years,Alzheimer's disease and other dementias,Number,2866.794644891133
All Population,Prevalence,Nicaragua,Both,75-79 years,Alzheimer's disease and other dementias,Number,4781.298470950669
All Population,Prevalence,Nicaragua,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.064532932
All Population,Prevalence,Nicaragua,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.074882091
All Population,Prevalence,Nicaragua,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.070363711
All Population,Prevalence,Nicaragua,Male,80-84 years,Alzheimer's disease and other dementias,Number,1918.7564540096043
All Population,Prevalence,Nicaragua,Female,80-84 years,Alzheimer's disease and other dementias,Number,3214.985356800509
All Population,Prevalence,Nicaragua,Both,80-84 years,Alzheimer's disease and other dementias,Number,5133.741810810117
All Population,Prevalence,Nicaragua,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.1098388441678688
All Population,Prevalence,Nicaragua,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1295008117911052
All Population,Prevalence,Nicaragua,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.12137992
All Population,Prevalence,Nicaragua,Male,85-89 years,Alzheimer's disease and other dementias,Number,1273.8604543061197
All Population,Prevalence,Nicaragua,Female,85-89 years,Alzheimer's disease and other dementias,Number,2591.643930895088
All Population,Prevalence,Nicaragua,Both,85-89 years,Alzheimer's disease and other dementias,Number,3865.504385201208
All Population,Prevalence,Nicaragua,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.156082462
All Population,Prevalence,Nicaragua,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1894924550052698
All Population,Prevalence,Nicaragua,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1770063545423532
All Population,Prevalence,Nicaragua,Male,90-94 years,Alzheimer's disease and other dementias,Number,385.5349189867255
All Population,Prevalence,Nicaragua,Female,90-94 years,Alzheimer's disease and other dementias,Number,1194.0779908284876
All Population,Prevalence,Nicaragua,Both,90-94 years,Alzheimer's disease and other dementias,Number,1579.6129098152126
All Population,Prevalence,Nicaragua,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.2086738918459639
All Population,Prevalence,Nicaragua,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2577061720691395
All Population,Prevalence,Nicaragua,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2437285461329204
All Population,Prevalence,Nicaragua,Male,60+ years,Alzheimer's disease and other dementias,Number,8879.840097377686
All Population,Prevalence,Nicaragua,Female,60+ years,Alzheimer's disease and other dementias,Number,14800.04864414808
All Population,Prevalence,Nicaragua,Both,60+ years,Alzheimer's disease and other dementias,Number,23679.888741525763
All Population,Prevalence,Nicaragua,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.034960215
All Population,Prevalence,Nicaragua,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.045837435
All Population,Prevalence,Nicaragua,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.041048227
All Population,Prevalence,Nicaragua,Male,95+ years,Alzheimer's disease and other dementias,Number,25.36914788
All Population,Prevalence,Nicaragua,Female,95+ years,Alzheimer's disease and other dementias,Number,221.1509507079973
All Population,Prevalence,Nicaragua,Both,95+ years,Alzheimer's disease and other dementias,Number,246.5200985900189
All Population,Prevalence,Nicaragua,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.27347782
All Population,Prevalence,Nicaragua,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.3311750906382594
All Population,Prevalence,Nicaragua,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.3241376271382369
All Population,Prevalence,Eritrea,Male,60-64 years,Alzheimer's disease and other dementias,Number,371.1271825503034
All Population,Prevalence,Eritrea,Female,60-64 years,Alzheimer's disease and other dementias,Number,602.5334828702555
All Population,Prevalence,Eritrea,Both,60-64 years,Alzheimer's disease and other dementias,Number,973.6606654205592
All Population,Prevalence,Eritrea,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.006410455
All Population,Prevalence,Eritrea,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.008537892
All Population,Prevalence,Eritrea,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.007579145
All Population,Prevalence,Eritrea,Male,65-69 years,Alzheimer's disease and other dementias,Number,476.3590205011889
All Population,Prevalence,Eritrea,Female,65-69 years,Alzheimer's disease and other dementias,Number,931.2016491890907
All Population,Prevalence,Eritrea,Both,65-69 years,Alzheimer's disease and other dementias,Number,1407.5606696902798
All Population,Prevalence,Eritrea,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.011564221
All Population,Prevalence,Eritrea,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.017197798
All Population,Prevalence,Eritrea,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.014763737
All Population,Prevalence,Eritrea,Male,70-74 years,Alzheimer's disease and other dementias,Number,583.2118676433803
All Population,Prevalence,Eritrea,Female,70-74 years,Alzheimer's disease and other dementias,Number,1302.9529246696948
All Population,Prevalence,Eritrea,Both,70-74 years,Alzheimer's disease and other dementias,Number,1886.1647923130736
All Population,Prevalence,Eritrea,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.022165398
All Population,Prevalence,Eritrea,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.03603221
All Population,Prevalence,Eritrea,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.030191873
All Population,Prevalence,Eritrea,Male,75-79 years,Alzheimer's disease and other dementias,Number,819.7975025084082
All Population,Prevalence,Eritrea,Female,75-79 years,Alzheimer's disease and other dementias,Number,1850.495336969302
All Population,Prevalence,Eritrea,Both,75-79 years,Alzheimer's disease and other dementias,Number,2670.292839477709
All Population,Prevalence,Eritrea,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.04104253
All Population,Prevalence,Eritrea,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.067828633
All Population,Prevalence,Eritrea,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.056506645
All Population,Prevalence,Eritrea,Male,80-84 years,Alzheimer's disease and other dementias,Number,897.3749557733495
All Population,Prevalence,Eritrea,Female,80-84 years,Alzheimer's disease and other dementias,Number,2029.240622965764
All Population,Prevalence,Eritrea,Both,80-84 years,Alzheimer's disease and other dementias,Number,2926.615578739112
All Population,Prevalence,Eritrea,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.071149664
All Population,Prevalence,Eritrea,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1166855058668694
All Population,Prevalence,Eritrea,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.09754351
All Population,Prevalence,Eritrea,Male,85-89 years,Alzheimer's disease and other dementias,Number,620.0721912
All Population,Prevalence,Eritrea,Female,85-89 years,Alzheimer's disease and other dementias,Number,1448.674032235731
All Population,Prevalence,Eritrea,Both,85-89 years,Alzheimer's disease and other dementias,Number,2068.746223394216
All Population,Prevalence,Eritrea,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1118770883033252
All Population,Prevalence,Eritrea,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.1792813923118478
All Population,Prevalence,Eritrea,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.1518581058426848
All Population,Prevalence,Eritrea,Male,90-94 years,Alzheimer's disease and other dementias,Number,276.4743432295972
All Population,Prevalence,Eritrea,Female,90-94 years,Alzheimer's disease and other dementias,Number,679.5102091559554
All Population,Prevalence,Eritrea,Both,90-94 years,Alzheimer's disease and other dementias,Number,955.9845523855532
All Population,Prevalence,Eritrea,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.1536682855954173
All Population,Prevalence,Eritrea,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.2375307918793112
All Population,Prevalence,Eritrea,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.2051518300427097
All Population,Prevalence,Eritrea,Male,60+ years,Alzheimer's disease and other dementias,Number,4153.973425163628
All Population,Prevalence,Eritrea,Female,60+ years,Alzheimer's disease and other dementias,Number,9136.649680066126
All Population,Prevalence,Eritrea,Both,60+ years,Alzheimer's disease and other dementias,Number,13290.62310522974
All Population,Prevalence,Eritrea,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.02503429
All Population,Prevalence,Eritrea,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.041990914
