population_group,measure,location,sex,age,cause,metric,val
All Population,Prevalence,Algeria,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.04779562
All Population,Prevalence,Algeria,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.041839155
All Population,Prevalence,Algeria,Male,95+ years,Alzheimer's disease and other dementias,Number,849.1007252
All Population,Prevalence,Algeria,Female,95+ years,Alzheimer's disease and other dementias,Number,2022.5691328466896
All Population,Prevalence,Algeria,Both,95+ years,Alzheimer's disease and other dementias,Number,2871.669858069308
All Population,Prevalence,Algeria,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.2454656109549208
All Population,Prevalence,Algeria,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.286876065
All Population,Prevalence,Algeria,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.273246002
All Population,Prevalence,United States of America,Male,60-64 years,Alzheimer's disease and other dementias,Number,100598.93008836718
All Population,Prevalence,United States of America,Female,60-64 years,Alzheimer's disease and other dementias,Number,115146.92208456175
All Population,Prevalence,United States of America,Both,60-64 years,Alzheimer's disease and other dementias,Number,215745.85217292883
All Population,Prevalence,United States of America,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.009689712
All Population,Prevalence,United States of America,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.010536916
All Population,Prevalence,United States of America,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.010124166
All Population,Prevalence,United States of America,Male,65-69 years,Alzheimer's disease and other dementias,Number,162435.70870150352
All Population,Prevalence,United States of America,Female,65-69 years,Alzheimer's disease and other dementias,Number,212211.51018222125
All Population,Prevalence,United States of America,Both,65-69 years,Alzheimer's disease and other dementias,Number,374647.2188837248
All Population,Prevalence,United States of America,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.018147203
All Population,Prevalence,United States of America,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.021546117
All Population,Prevalence,United States of America,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.019927851
All Population,Prevalence,United States of America,Male,70-74 years,Alzheimer's disease and other dementias,Number,238661.36895096675
All Population,Prevalence,United States of America,Female,70-74 years,Alzheimer's disease and other dementias,Number,353167.8864
All Population,Prevalence,United States of America,Both,70-74 years,Alzheimer's disease and other dementias,Number,591829.2553856781
All Population,Prevalence,United States of America,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.033531117
All Population,Prevalence,United States of America,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.043162946
All Population,Prevalence,United States of America,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.038682133
All Population,Prevalence,United States of America,Male,75-79 years,Alzheimer's disease and other dementias,Number,316087.51616302464
All Population,Prevalence,United States of America,Female,75-79 years,Alzheimer's disease and other dementias,Number,497111.04166016827
All Population,Prevalence,United States of America,Both,75-79 years,Alzheimer's disease and other dementias,Number,813198.5578
All Population,Prevalence,United States of America,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.06501128
All Population,Prevalence,United States of America,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.084597919
All Population,Prevalence,United States of America,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.075729485
All Population,Prevalence,United States of America,Male,80-84 years,Alzheimer's disease and other dementias,Number,333631.9535
All Population,Prevalence,United States of America,Female,80-84 years,Alzheimer's disease and other dementias,Number,569260.3476567281
All Population,Prevalence,United States of America,Both,80-84 years,Alzheimer's disease and other dementias,Number,902892.3011488538
All Population,Prevalence,United States of America,Male,80-84 years,Alzheimer's disease and other dementias,Percent,0.1191382604055409
All Population,Prevalence,United States of America,Female,80-84 years,Alzheimer's disease and other dementias,Percent,0.1521604834490457
All Population,Prevalence,United States of America,Both,80-84 years,Alzheimer's disease and other dementias,Percent,0.1380240011341144
All Population,Prevalence,United States of America,Male,85-89 years,Alzheimer's disease and other dementias,Number,284115.21608206315
All Population,Prevalence,United States of America,Female,85-89 years,Alzheimer's disease and other dementias,Number,532806.6704703822
All Population,Prevalence,United States of America,Both,85-89 years,Alzheimer's disease and other dementias,Number,816921.8865524451
All Population,Prevalence,United States of America,Male,85-89 years,Alzheimer's disease and other dementias,Percent,0.1946236793189932
All Population,Prevalence,United States of America,Female,85-89 years,Alzheimer's disease and other dementias,Percent,0.2362376828731814
All Population,Prevalence,United States of America,Both,85-89 years,Alzheimer's disease and other dementias,Percent,0.2198862485874052
All Population,Prevalence,United States of America,Male,90-94 years,Alzheimer's disease and other dementias,Number,167449.2012202349
All Population,Prevalence,United States of America,Female,90-94 years,Alzheimer's disease and other dementias,Number,374514.1762154023
All Population,Prevalence,United States of America,Both,90-94 years,Alzheimer's disease and other dementias,Number,541963.3774356369
All Population,Prevalence,United States of America,Male,90-94 years,Alzheimer's disease and other dementias,Percent,0.2820749746423141
All Population,Prevalence,United States of America,Female,90-94 years,Alzheimer's disease and other dementias,Percent,0.3193993789316467
All Population,Prevalence,United States of America,Both,90-94 years,Alzheimer's disease and other dementias,Percent,0.3068542921695605
All Population,Prevalence,United States of America,Male,60+ years,Alzheimer's disease and other dementias,Number,1664039.9064350186
All Population,Prevalence,United States of America,Female,60+ years,Alzheimer's disease and other dementias,Number,2833640.818
All Population,Prevalence,United States of America,Both,60+ years,Alzheimer's disease and other dementias,Number,4497680.724590287
All Population,Prevalence,United States of America,Male,60+ years,Alzheimer's disease and other dementias,Percent,0.04579382
All Population,Prevalence,United States of America,Female,60+ years,Alzheimer's disease and other dementias,Percent,0.066715744
All Population,Prevalence,United States of America,Both,60+ years,Alzheimer's disease and other dementias,Percent,0.057069203
All Population,Prevalence,United States of America,Male,95+ years,Alzheimer's disease and other dementias,Number,61060.011736732326
All Population,Prevalence,United States of America,Female,95+ years,Alzheimer's disease and other dementias,Number,179422.2634510968
All Population,Prevalence,United States of America,Both,95+ years,Alzheimer's disease and other dementias,Number,240482.27518782936
All Population,Prevalence,United States of America,Male,95+ years,Alzheimer's disease and other dementias,Percent,0.3568023304187044
All Population,Prevalence,United States of America,Female,95+ years,Alzheimer's disease and other dementias,Percent,0.3827868434648322
All Population,Prevalence,United States of America,Both,95+ years,Alzheimer's disease and other dementias,Percent,0.3758372321951642
All Population,Prevalence,Jordan,Male,60-64 years,Alzheimer's disease and other dementias,Number,1645.0215172509495
All Population,Prevalence,Jordan,Female,60-64 years,Alzheimer's disease and other dementias,Number,1677.5183570767722
All Population,Prevalence,Jordan,Both,60-64 years,Alzheimer's disease and other dementias,Number,3322.5398743277224
All Population,Prevalence,Jordan,Male,60-64 years,Alzheimer's disease and other dementias,Percent,0.009289924
All Population,Prevalence,Jordan,Female,60-64 years,Alzheimer's disease and other dementias,Percent,0.01093143
All Population,Prevalence,Jordan,Both,60-64 years,Alzheimer's disease and other dementias,Percent,0.010052033
All Population,Prevalence,Jordan,Male,65-69 years,Alzheimer's disease and other dementias,Number,1933.7128393359053
All Population,Prevalence,Jordan,Female,65-69 years,Alzheimer's disease and other dementias,Number,2248.886658324981
All Population,Prevalence,Jordan,Both,65-69 years,Alzheimer's disease and other dementias,Number,4182.599497660889
All Population,Prevalence,Jordan,Male,65-69 years,Alzheimer's disease and other dementias,Percent,0.017551251
All Population,Prevalence,Jordan,Female,65-69 years,Alzheimer's disease and other dementias,Percent,0.021743554
All Population,Prevalence,Jordan,Both,65-69 years,Alzheimer's disease and other dementias,Percent,0.019581187
All Population,Prevalence,Jordan,Male,70-74 years,Alzheimer's disease and other dementias,Number,2350.106836227392
All Population,Prevalence,Jordan,Female,70-74 years,Alzheimer's disease and other dementias,Number,3056.347169689465
All Population,Prevalence,Jordan,Both,70-74 years,Alzheimer's disease and other dementias,Number,5406.4540059168585
All Population,Prevalence,Jordan,Male,70-74 years,Alzheimer's disease and other dementias,Percent,0.033117416
All Population,Prevalence,Jordan,Female,70-74 years,Alzheimer's disease and other dementias,Percent,0.044447084
All Population,Prevalence,Jordan,Both,70-74 years,Alzheimer's disease and other dementias,Percent,0.038693092
All Population,Prevalence,Jordan,Male,75-79 years,Alzheimer's disease and other dementias,Number,2792.3969780862203
All Population,Prevalence,Jordan,Female,75-79 years,Alzheimer's disease and other dementias,Number,3912.6533816506094
All Population,Prevalence,Jordan,Both,75-79 years,Alzheimer's disease and other dementias,Number,6705.050359736833
All Population,Prevalence,Jordan,Male,75-79 years,Alzheimer's disease and other dementias,Percent,0.064103396
All Population,Prevalence,Jordan,Female,75-79 years,Alzheimer's disease and other dementias,Percent,0.086229899
All Population,Prevalence,Jordan,Both,75-79 years,Alzheimer's disease and other dementias,Percent,0.075392283
All Population,Prevalence,Jordan,Male,80-84 years,Alzheimer's disease and other dementias,Number,3956.669933384031
All Population,Prevalence,Jordan,Female,80-84 years,Alzheimer's disease and other dementias,Number,4728.620999746195
