population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Haiti,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0275212820552785,0.0317371564641067,0.0233302002017336
All Population,Prevalence,Haiti,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0323658552958277,0.0374594452796058,0.027395200551754
All Population,Prevalence,Haiti,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0301448509861536,0.0347419388351938,0.0253751223121109
All Population,Prevalence,Papua New Guinea,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,6817.480204277971,7913.561315573725,5757.57051508512
All Population,Prevalence,Papua New Guinea,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,7319.719982362018,8446.912954875375,6204.073371292593
All Population,Prevalence,Papua New Guinea,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,14137.200186639984,16220.2023328997,12028.844282974964
All Population,Prevalence,Papua New Guinea,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0216051825083183,0.0250785500750579,0.0182461401311084
All Population,Prevalence,Papua New Guinea,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0279170231054542,0.0322151400455479,0.0236632333864657
All Population,Prevalence,Papua New Guinea,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0244696634136086,0.028075913428542,0.0208202092310239
All Population,Prevalence,Japan,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,1042220.5908422932,1236252.517459975,865978.7455739048
All Population,Prevalence,Japan,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,2257731.461204224,2654849.978860453,1898967.9211674496
All Population,Prevalence,Japan,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,3299952.052046518,3892909.287208321,2770886.9044538587
All Population,Prevalence,Japan,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0531985409954627,0.0630940252891609,0.0442034498661019
All Population,Prevalence,Japan,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0921930534180143,0.1084002120678429,0.0775424579257014
All Population,Prevalence,Japan,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0748622501409709,0.0883087016631304,0.0628576457824186
All Population,Prevalence,Fiji,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,886.8293943730923,1037.4103633280315,746.6586473512497
All Population,Prevalence,Fiji,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,1593.9276420046413,1848.8435515138983,1320.2898606067506
All Population,Prevalence,Fiji,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,2480.7570363777327,2879.2991465268915,2069.129461854557
All Population,Prevalence,Fiji,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0197615068548236,0.0231168316583218,0.0166388581564831
All Population,Prevalence,Fiji,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0302292131755135,0.0350636473640645,0.0250401592130297
All Population,Prevalence,Fiji,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0254163787231364,0.0294999903670403,0.0211998439059486
All Population,Prevalence,Poland,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,129617.16129146048,152343.74650662573,104342.2431075807
All Population,Prevalence,Poland,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,295069.0930568049,344739.85020953347,246542.05338702648
All Population,Prevalence,Poland,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,424686.25434826495,493880.9516333133,350217.0383240642
All Population,Prevalence,Poland,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0308581513666435,0.0362675511389607,0.0248422933197073
All Population,Prevalence,Poland,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0508444691909582,0.0594037465050594,0.0424846567955212
All Population,Prevalence,Poland,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.042452554896891,0.0493675594799951,0.0350087755865463
All Population,Prevalence,Greece,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,96529.52341222364,112448.21663726782,80079.9219633044
All Population,Prevalence,Greece,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,148559.5992544856,174569.84924064146,123539.53051736
All Population,Prevalence,Greece,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,245089.12266670924,285853.1363463972,203789.37833623064
All Population,Prevalence,Greece,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0668273264519024,0.0778447057213514,0.0554411660732705
All Population,Prevalence,Greece,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0866910841299066,0.1018654921731204,0.0721050386406459
All Population,Prevalence,Greece,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0776058177912248,0.0905139142482719,0.0645418201133445
All Population,Prevalence,Maldives,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,401.32725834352414,464.08487754551857,339.54647908756715
All Population,Prevalence,Maldives,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,461.3884877522849,537.0864342750787,390.8401985381278
All Population,Prevalence,Maldives,Both,60+ years,Alzheimer's disease and other dementias,Number,2023,862.7157460958083,1001.6423954554158,733.5152004924414
All Population,Prevalence,Maldives,Male,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0210908401762851,0.0243905653713934,0.0178427072724336
All Population,Prevalence,Maldives,Female,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0259482359162453,0.0302045058577197,0.0219808981467819
All Population,Prevalence,Maldives,Both,60+ years,Alzheimer's disease and other dementias,Percent,2023,0.0234372316051938,0.0272116446874569,0.0199266008007078
All Population,Prevalence,Mongolia,Male,60+ years,Alzheimer's disease and other dementias,Number,2023,2827.046358709622,3267.288609371828,2446.253630164444
All Population,Prevalence,Mongolia,Female,60+ years,Alzheimer's disease and other dementias,Number,2023,5588.384709890896,6458.420101133714,4795.018816192872
